aX,aY,aZ,gX,gY,gZ
0.317,-0.983,-0.725,72.205,-488.953,77.393
0.139,-0.954,-0.595,58.044,-446.167,69.397
-0.027,-0.925,-0.495,59.937,-394.409,61.829
-0.128,-0.975,-0.523,58.777,-336.426,54.565
-0.132,-1.034,-0.523,43.823,-275.940,51.453
-0.062,-1.013,-0.454,33.386,-218.323,45.959
0.035,-1.016,-0.349,32.288,-165.100,34.302
0.110,-1.011,-0.294,28.320,-121.277,24.719
0.141,-1.003,-0.264,21.118,-89.478,20.325
0.171,-1.026,-0.264,19.409,-66.711,17.517
0.187,-1.052,-0.317,17.700,-50.049,14.404
0.171,-1.085,-0.376,13.123,-30.762,10.803
0.130,-1.123,-0.438,4.150,-7.446,4.517
0.112,-1.141,-0.461,-8.423,20.203,-2.380
0.101,-1.117,-0.415,-23.682,49.072,-8.606
0.093,-1.054,-0.369,-36.560,76.416,-13.062
0.103,-1.044,-0.299,-42.480,103.333,-14.282
0.129,-1.036,-0.274,-42.480,129.944,-19.043
0.161,-1.046,-0.274,-39.734,158.630,-23.926
0.152,-1.047,-0.314,-42.114,188.538,-27.893
0.091,-1.029,-0.368,-44.800,223.206,-30.396
0.062,-1.054,-0.416,-45.715,267.761,-35.706
0.141,-1.099,-0.454,-49.133,324.707,-46.753
0.245,-1.058,-0.451,-53.406,389.160,-64.514
0.323,-0.980,-0.447,-49.133,458.313,-85.938
0.376,-0.992,-0.494,-37.109,522.278,-104.309
0.418,-1.050,-0.573,-32.471,575.439,-120.117
0.453,-1.184,-0.667,-38.513,612.061,-132.080
0.522,-1.273,-0.678,-59.326,632.690,-145.142
0.559,-1.284,-0.605,-89.783,638.489,-161.011
0.521,-1.173,-0.459,-119.568,626.953,-177.063
0.465,-1.045,-0.270,-142.395,597.534,-185.120
0.466,-0.980,-0.072,-160.522,550.659,-176.758
0.487,-0.930,0.116,-172.913,486.816,-155.151
0.471,-0.888,0.330,-172.119,406.067,-122.803
0.487,-0.801,0.540,-162.170,314.026,-87.830
0.426,-0.740,0.712,-147.522,223.572,-47.485
0.352,-0.695,0.760,-117.188,143.127,-11.414
0.316,-0.673,0.669,-76.172,82.947,9.521
0.266,-0.709,0.566,-45.410,53.772,23.193
0.176,-0.790,0.454,-27.710,50.964,26.428
0.144,-0.862,0.414,-14.404,63.110,16.235
0.107,-0.903,0.364,-8.850,76.233,-0.854
0.104,-0.899,0.312,-8.850,87.646,-13.611
0.112,-0.905,0.304,-12.878,92.773,-20.020
0.117,-0.927,0.296,-11.108,89.478,-20.874
0.107,-0.943,0.320,-8.423,78.674,-16.174
0.129,-0.889,0.318,-3.052,63.293,-8.301
0.117,-0.896,0.299,13.306,46.936,2.014
0.067,-0.944,0.255,25.269,30.945,10.254
0.050,-1.007,0.217,27.405,18.616,18.372
0.039,-0.999,0.193,25.085,10.681,22.095
0.064,-1.000,0.181,24.475,7.996,21.545
0.108,-1.043,0.168,23.560,8.850,17.334
0.125,-1.052,0.127,24.658,12.085,9.583
0.151,-1.114,0.112,23.437,15.137,3.357
0.143,-1.150,0.080,17.151,14.709,-1.831
0.101,-1.142,0.077,12.451,14.343,-6.531
0.096,-1.101,0.130,7.324,14.282,-11.353
0.082,-1.059,0.163,5.066,16.602,-15.625
0.069,-1.045,0.191,4.272,20.569,-19.348
0.105,-1.028,0.234,5.859,23.376,-22.949
0.107,-0.999,0.260,10.498,22.827,-24.292
0.102,-1.000,0.287,11.841,15.869,-19.897
0.065,-0.978,0.247,6.775,5.676,-10.864
-0.015,-0.995,0.168,-0.122,-2.930,-3.540
-0.039,-1.008,0.096,0.122,-2.869,-1.099
-0.007,-1.037,0.083,2.563,3.967,-3.113
0.027,-1.039,0.078,2.686,11.902,-6.958
0.070,-1.031,0.095,1.526,17.822,-11.047
0.083,-1.021,0.135,5.188,21.484,-15.381
0.069,-1.010,0.175,11.658,25.208,-19.958
0.048,-1.011,0.190,12.329,26.733,-24.109
0.019,-1.001,0.170,8.850,26.794,-26.428
-0.011,-0.997,0.139,3.906,24.414,-26.367
-0.027,-0.997,0.104,0.549,20.264,-23.315
-0.027,-1.000,0.099,0.427,17.212,-19.470
-0.022,-0.994,0.150,2.930,17.029,-17.883
0.001,-0.962,0.226,7.874,19.287,-18.616
0.018,-0.943,0.277,8.972,19.470,-19.958
0.018,-0.944,0.278,7.629,18.677,-20.203
-0.001,-0.959,0.243,3.235,16.052,-20.264
-0.035,-0.959,0.196,0.366,14.038,-19.775
-0.061,-0.953,0.159,-0.549,12.573,-18.372
-0.079,-0.963,0.134,1.343,11.902,-15.808
-0.091,-0.986,0.123,4.578,12.634,-13.000
-0.088,-1.012,0.124,5.188,14.282,-12.024
-0.071,-1.036,0.148,6.165,17.822,-12.634
