aX,aY,aZ,gX,gY,gZ
-0.010,2.414,-0.254,-46.143,55.481,148.376
0.032,2.441,-0.388,-34.363,51.575,97.717
0.087,2.312,-0.494,-22.522,49.011,47.913
0.092,2.068,-0.545,-14.038,40.100,2.014
0.066,1.788,-0.548,-4.089,28.748,-33.630
0.015,1.521,-0.517,5.493,20.752,-57.495
0.026,1.241,-0.523,13.489,15.259,-74.585
0.002,0.953,-0.483,23.804,8.606,-89.478
-0.057,0.675,-0.425,34.729,-0.488,-100.647
-0.105,0.379,-0.352,45.044,-8.545,-108.032
-0.143,0.053,-0.253,55.237,-14.771,-112.366
-0.172,-0.248,-0.187,63.477,-18.921,-113.525
-0.182,-0.485,-0.189,66.711,-19.531,-110.046
-0.148,-0.654,-0.229,67.627,-18.127,-102.844
-0.144,-0.762,-0.261,67.749,-19.897,-94.788
-0.161,-0.825,-0.275,69.824,-24.109,-86.121
-0.133,-0.912,-0.316,76.416,-26.978,-76.355
-0.083,-1.031,-0.286,83.130,-29.724,-69.580
-0.074,-1.128,-0.257,86.426,-37.964,-63.232
-0.089,-1.177,-0.234,90.820,-42.969,-54.199
-0.035,-1.251,-0.194,94.543,-38.574,-42.603
0.005,-1.272,-0.208,97.107,-34.302,-32.715
-0.034,-1.245,-0.178,95.215,-34.424,-27.893
-0.040,-1.238,-0.169,91.858,-31.738,-24.170
-0.016,-1.277,-0.184,88.928,-26.245,-22.400
-0.038,-1.342,-0.200,84.534,-23.437,-24.536
-0.050,-1.428,-0.212,76.355,-21.362,-28.137
-0.042,-1.516,-0.246,64.880,-17.639,-29.480
-0.031,-1.585,-0.254,54.810,-14.099,-27.222
-0.043,-1.610,-0.251,47.180,-12.878,-22.766
-0.005,-1.609,-0.276,41.504,-12.268,-16.724
-0.015,-1.614,-0.297,42.297,-13.367,-11.658
-0.019,-1.676,-0.284,47.913,-15.442,-9.399
-0.065,-1.738,-0.262,49.622,-18.188,-9.033
-0.065,-1.762,-0.250,49.744,-16.174,-3.235
-0.048,-1.738,-0.244,50.049,-12.634,7.385
-0.006,-1.677,-0.223,49.866,-10.132,17.456
0.031,-1.640,-0.228,51.270,-10.193,23.926
-0.042,-1.600,-0.210,51.208,-12.390,23.499
-0.065,-1.599,-0.180,45.959,-11.414,23.804
-0.025,-1.586,-0.181,38.025,-6.592,25.879
-0.003,-1.547,-0.187,27.527,-2.380,25.940
0.007,-1.498,-0.192,16.602,-0.122,24.170
0.010,-1.434,-0.193,8.179,1.282,22.156
0.011,-1.391,-0.200,4.089,3.052,21.362
0.021,-1.339,-0.225,3.479,4.272,20.508
0.029,-1.299,-0.230,4.272,4.700,21.545
0.056,-1.261,-0.250,7.812,5.493,23.621
0.035,-1.215,-0.255,8.484,3.967,22.705
0.046,-1.181,-0.253,5.432,2.808,20.935
0.057,-1.151,-0.239,1.648,1.587,18.860
0.065,-1.118,-0.216,-1.465,0.427,16.235
0.076,-1.098,-0.199,-3.723,0.366,13.550
0.081,-1.077,-0.203,-4.944,1.404,11.047
0.075,-1.063,-0.207,-5.432,2.197,8.850
0.064,-1.052,-0.200,-5.981,2.380,6.836
0.065,-1.035,-0.195,-7.019,2.869,5.676
0.068,-1.013,-0.203,-6.592,3.906,5.005
0.065,-0.994,-0.211,-5.920,4.517,3.967
0.055,-0.982,-0.228,-5.859,4.272,2.258
0.067,-0.977,-0.241,-6.104,4.700,0.366
0.065,-0.974,-0.252,-6.897,4.700,-1.099
0.066,-0.967,-0.258,-7.996,3.906,-2.014
